

央视频道,#genre#
2010年春晚,https://txmov2.a.kwimgs.com/bs3/video-hls/5210664862006975841_hlshd15.m3u8
2011年春晚,https://txmov2.a.kwimgs.com/bs3/video-hls/5243597434070590481_hlshd15.m3u8
2012年春晚,https://txmov2.a.kwimgs.com/bs3/video-hls/5219953534755647343_hlshd15.m3u8
2013年春晚,https://txmov2.a.kwimgs.com/bs3/video-hls/5241627109089548390_hlshd15.m3u8
2014年春晚,https://txmov2.a.kwimgs.com/bs3/video-hls/5245286283437869627_hlshd15.m3u8
2015年春晚,https://txmov2.a.kwimgs.com/bs3/video-hls/5248101009010430183_hlshd15.m3u8
2016年春晚,https://txmov2.a.kwimgs.com/bs3/video-hls/5238530884094441260_hlshd15.m3u8
2017年春晚,https://txmov2.a.kwimgs.com/bs3/video-hls/5191524564569524830_hlshd15.m3u8
2018年春晚,https://txmov2.a.kwimgs.com/bs3/video-hls/5212635188105848764_hlshd15.m3u8
2019年春晚,https://txmov2.a.kwimgs.com/bs3/video-hls/5239093835831655107_hlshd15.m3u8
2020年春晚,https://txmov2.a.kwimgs.com/bs3/video-hls/5222205336887088723_hlshd15.m3u8
2021年春晚,https://txmov2.a.kwimgs.com/bs3/video-hls/5255700831151909807_hlshd15.m3u8
2022年春晚,https://txmov2.a.kwimgs.com/bs3/video-hls/5224457109297710655_hlshd15.m3u8
2023年春晚,https://txmov2.a.kwimgs.com/bs3/video-hls/5251197255879398624_hlshd15.m3u8
2024年春晚,https://p2.bdstatic.com/rtmp.liveshow.lss-user.baidubce.com/live/stream_bduid_6488563992_8982723413/merged_1707497046297_88536_25144_41936.m3u8

国际频道,#genre#
BBC,https://d3pxo1qcgzxtxs.cloudfront.net/10005/99951298/hls/playlist.m3u8?ads.xumo_channelId=99951298
CNA,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8
CNN,https://jmp2.uk/sam-GBBD8000016N.m3u8
Fox LiveNow,https://jmp2.uk/sam-USBA300024TN.m3u8
CBC News,https://dbrb49pjoymg4.cloudfront.net/v1/master/3fec3e5cac39a52b2132f9c66c83dae043dc17d4/prod_default_xumo-ams-aws/master.m3u8?ads.xumo_channelId=99991276
ABC News Live,https://d4ybyqrhce41r.cloudfront.net/v1/master/3fec3e5cac39a52b2132f9c66c83dae043dc17d4/prod-xumo-linear-nbcu-hlsv3/master.m3u8?ads.channelId=99991626
WionNews,https://d7x8z4yuq42qn.cloudfront.net/index_7.m3u8
NHK World,https://nhkwlive-ojp.akamaized.net/hls/live/2003459/nhkwlive-ojp-en/index.m3u8
NBC,https://jmp2.uk/sam-GBBB1500004LG.m3u8
Sky News,https://i.mjh.nz/SamsungTVPlus/USBB52000022Q.m3u8
AlJazeera,http://live-hls-web-aje.getaj.net/AJE/01.m3u8
Arirang,https://amdlive-ch01-ctnd-com.akamaized.net/arirang_1ch/smil:arirang_1ch.smil/chunklist_b3256000_sleng.m3u8
日本新闻,https://n24-cdn-live.ntv.co.jp/ch01/index_high.m3u8
TRT World,https://tv-trtworld.live.trt.com.tr/master_1080.m3u8
AXS TV Now,https://dikcfc9915kp8.cloudfront.net/hls/1080p/playlist.m3u8
Bloomberg Asia,https://epg.pw/stream/d2edf469b9079064a283f4b0811cbf6f2597ebbb3d08dcf77036a4b5a791b7cf.m3u8
Bloomberg Originals,https://i.mjh.nz/SamsungTVPlus/GBBC900012J9.m3u8
Fashion TV,http://91.247.68.229:8000/play/Fashion/index.m3u8
Trace Sports,https://lightning-tracesport-samsungau.amagi.tv/playlist1080p.m3u8
RT News,https://rt-glb.rttv.com/dvr/rtnews/playlist_4500Kb.m3u8
RT Español,https://rt-esp.rttv.com/dvr/rtesp/playlist_4500Kb.m3u8
RT Français,https://rt-fra.rttv.com/dvr/rtfrance/playlist_4500Kb.m3u8
RT Arabic,https://rt-arb.rttv.com/dvr/rtarab/playlist_4500Kb.m3u8
RT DE,https://rt-ger.rttv.com/dvr/rtdeutsch/playlist_4500Kb.m3u8
RT Documentary,https://rt-rtd.rttv.com/dvr/rtdoc/playlist_4500Kb.m3u8
RT Doc-Русский,https://hls.rt.com/hls/rtdru360.m3u8
SKY,http://streamsy.online:2999/coachj88/N93DPKS9pJ/330
KBS world,https://kbsworld-ott.akamaized.net/hls/live/2002341/kbsworld/master.m3u8
FIFA+,https://i.mjh.nz/SamsungTVPlus/USBD12000255B.m3u8
Newsmax,http://nmxlive.akamaized.net/hls/live/529965/Live_1/index.m3u8
Dubai One,http://dminnvll.cdn.mangomolo.com/dubaione/smil:dubaione.stream.smil/chunklist_b1800000.m3u8
CBN News,https://bcovlive-a.akamaihd.net/re8d9f611ee4a490a9bb59e52db91414d/us-east-1/734546207001/playlist.m3u8
GB News,https://i.mjh.nz/SamsungTVPlus/GBBB1600008R3.m3u8
TBS,http://143.244.60.30/TBS/index.m3u8
Taiwan Plus,https://bcovlive-a.akamaihd.net/rce33d845cb9e42dfa302c7ac345f7858/ap-northeast-1/6282251407001/playlist.m3u8
ION Plus,https://i.mjh.nz/SamsungTVPlus/USBD300003LK.m3u8
ION,https://i.mjh.nz/SamsungTVPlus/USBD300002TU.m3u8
Love Nature,https://d18dyiwu97wm6q.cloudfront.net/playlist2160p.m3u8
Disney International,http://sansat.net:88/HhPRf2nAlsVeRU9/AnzgPldGC8OHsyY/96284
Fight Network,https://d12a2vxqkkh1bo.cloudfront.net/hls/1080p/playlist.m3u8
&Flix HD,http://89.187.177.137:8081/&FLIX/index.m3u8
Wild Earth,https://wildearth-plex.amagi.tv/masterR1080p.m3u8
Wild Planet,https://i.mjh.nz/SamsungTVPlus/GBBB5000002PL.m3u8
Clarity 4K,https://i.mjh.nz/SamsungTVPlus/USBA3800005NI.m3u8
Stadium,https://i.mjh.nz/SamsungTVPlus/USAJ3504705A.m3u8
Pop,http://streamsy.online:2999/coachj88/N93DPKS9pJ/226
Tastemade,https://i.mjh.nz/SamsungTVPlus/CABD1200002T9.m3u8
MovieSphere,https://i.mjh.nz/SamsungTVPlus/USBD17000117B.m3u8
The Lego Channel,https://i.mjh.nz/SamsungTVPlus/GBBC4300005AL.m3u8
NextUp Live Comedy,https://i.mjh.nz/SamsungTVPlus/GBBD1100012JB.m3u8

💫dj歌曲,#genre#
今日热歌DJ,https://vd2.bdstatic.com/mda-mhhf5mr00yyhpfjs/1080p/cae_h264/1629284581057661229/mda-mhhf5mr00yyhpfjs.mp4
推荐9首DJ舞曲_首首甜美醉人,https://vd2.bdstatic.com/mda-mhig1c3sw223mx8p/1080p/cae_h264/1629380139191731149/mda-mhig1c3sw223mx8p.mp4
动感DJ苦了累了听听歌,https://vd4.bdstatic.com/mda-mhqekuf2r91v08dt/1080p/cae_h264/1629888246186602728/mda-mhqekuf2r91v08dt.mp4
车载必备DJ殇雪,https://vd3.bdstatic.com/mda-mhve4gb9hi8cstzk/1080p/cae_h264/1630319514896018158/mda-mhve4gb9hi8cstzk.mp4
DJ心在跳情在烧,https://vd4.bdstatic.com/mda-mhwf07t27w3gi1y7/1080p/cae_h264/1630406994590156367/mda-mhwf07t27w3gi1y7.mp4
孙艺琪寂寞的人别听伤感情歌,https://vd2.bdstatic.com/mda-mdscsws7443npwa8/1080p/cae_h264/1619516504/mda-mdscsws7443npwa8.mp4
郭镐鸣野摩托,https://vd3.bdstatic.com/mda-mekfm7wu6f4rtt99/1080p/cae_h264/1621595318412084671/mda-mekfm7wu6f4rtt99.mp4
赵蕾蕾寂寞的城伤心的人,https://vd2.bdstatic.com/mda-mesdm11tdp69a9ye/1080p/cae_h264/1622115758783335310/mda-mesdm11tdp69a9ye.mp4
叶筱萱爱到最后是孤独,https://vd4.bdstatic.com/mda-mh9fjm2j86uyymfa/1080p/cae_h264/1628593607912074882/mda-mh9fjm2j86uyymfa.mp4
海来阿木浪子心DJ沈念版,https://vd3.bdstatic.com/mda-mgr9s5pv0jeqbcm8/1080p/cae_h264/1627298307874491239/mda-mgr9s5pv0jeqbcm8.mp4
人间惊鸿客,https://vd3.bdstatic.com/mda-mh2bbyjcqjxjhzkd/1080p/cae_h264/1627978577559447916/mda-mh2bbyjcqjxjhzkd.mp4
流行舞曲,https://txmov2.a.kwimgs.com/upic/2024/01/28/23/BMjAyNDAxMjgyMzIxNDBfMjM5NDYzNDY0NV8xMjMzODYwOTE2NjlfMl8z_b_B3fb0c296da3db90ae1810c32aa8d87d2.mp4?clientCacheKey=3xcvhddw2gmruju_b.mp4&tt=b&di=7b0d0621&bp=10000
别知己,https://vd3.bdstatic.com/mda-pjpmxj8nps7esymw/576p/h264/1698161340027041596/mda-pjpmxj8nps7esymw.mp4
劲爆热舞,https://txmov2.a.kwimgs.com/upic/2024/01/28/23/BMjAyNDAxMjgyMzE4NTBfMjM5NDYzNDY0NV8xMjMzODU4NDc1NTFfMl8z_b_Bfbf57eec0884d3c429a206134c59899b.mp4?clientCacheKey=3xq3d533hx34856_b.mp4&tt=b&di=6a2aa95a&bp=10000
💫快手热舞,https://txmov2.a.kwimgs.com/upic/2024/01/28/23/BMjAyNDAxMjgyMzIxMTBfMjM5NDYzNDY0NV8xMjMzODYyOTQzMjlfMl8z_b_B0c334c5f0e607f14476d3b8457836aae.mp4?clientCacheKey=3xjfbm9h87k5aa9_b.mp4&tt=b&di=7b0d0454&bp=10000
美女热舞,https://mpimg.cn/view.php/8683d1512507decdaf08fc4cf87772fb.mp4
dj歌曲01,http://txmov2.a.kwimgs.com/upic/2023/11/28/07/BMjAyMzExMjgwNzQxNTJfMjM0Mjg1Nzg4Ml8xMTgyNzkwNjUyMDZfMV8z_b_B3a70152ca6546cbb7da723a6b2fe0031.mp4?tag=1-1701948426-std-1-4opil88qnr-8202842495ea54af&clientCacheKey=3xpw5dz59c3rqx4_b.mp4&tt=b&di=2b8e8c09&bp=12681&ali_redirect_ex_hot=66666800&ali_redirect_ex_beacon=1
环绕音,http://txmov2.a.kwimgs.com/upic/2023/06/06/19/BMjAyMzA2MDYxOTE1NDRfMjM0Mjg1Nzg4Ml8xMDQ5MDE2MDMzNDJfMV8z_b_B7bb4f28726c07ae269b4e127fffdbd49.mp4?tag=1-1701951318-std-1-7zicuidfs7-7f49c2a8325d35a9&clientCacheKey=3x4y5bnhcs54h3u_b.mp4&tt=b&di=7cdee4c6&bp=12681&ali_redirect_ex_hot=66666800&ali_redirect_ex_beacon=1
流行舞曲02,http://txmov2.a.kwimgs.com/upic/2023/12/05/13/BMjAyMzEyMDUxMzE1MTdfMjM0Mjg1Nzg4Ml8xMTg4OTc4MjIyMjFfMV8z_b_B004cc9f0156f1196335a505a63b1b750.mp4?tag=1-1701947365-std-1-fxxcn4woik-48e2be84a01a7e83&clientCacheKey=3xm64tb7cixz88g_b.mp4&tt=b&di=529d11df&bp=12681&ali_redirect_ex_hot=66666800&ali_redirect_ex_beacon=1
DJ版三月里的小雨,https://vd2.bdstatic.com/mda-mgwegh0bzv4cy6cb/1080p/cae_h264/1627727251470197083/mda-mgwegh0bzv4cy6cb.mp4
爱你到最后一刻,https://vd3.bdstatic.com/mda-mhr9c7q9xzgy1812/1080p/cae_h264/1630062648077583523/mda-mhr9c7q9xzgy1812.mp4
伤感DJ等,https://vd2.bdstatic.com/mda-mhq92a7nafrh8dma/1080p/cae_h264/1629977686796490849/mda-mhq92a7nafrh8dma.mp4
DJ我们不再是从前,https://vd2.bdstatic.com/mda-mhne550wq5m66zvj/1080p/cae_h264/1629803514331462220/mda-mhne550wq5m66zvj.mp4
DJ舞曲让我做你的眼睛,https://vd2.bdstatic.com/mda-mhaargrart2qrkdz/1080p/cae_h264/1629630942996744682/mda-mhaargrart2qrkdz.mp4
DJ版时间会知道你好不好,https://vd3.bdstatic.com/mda-mhairve7gvye1192/1080p/cae_h264/1629457148988604256/mda-mhairve7gvye1192.mp4
DJ版爱不得忘不舍,https://vd3.bdstatic.com/mda-mh8j8egnj8idbvd8/1080p/cae_h264/1629367979662473678/mda-mh8j8egnj8idbvd8.mp4
DJ版蜜雪冰城,https://vd3.bdstatic.com/mda-mhbae2pwwxhyxjcz/1080p/cae_h264/1628767594518574030/mda-mhbae2pwwxhyxjcz.mp4
无味DJ版,https://vd3.bdstatic.com/mda-mgqiagirsmmpuarm/1080p/cae_h264/1627218846577884242/mda-mgqiagirsmmpuarm.mp4
DJ版原谅你的谎,https://vd4.bdstatic.com/mda-mhacxx5vhr2we882/1080p/cae_h264/1628673933350116053/mda-mhacxx5vhr2we882.mp4
劲爆DJ串烧,https://vdse.bdstatic.com//01b1f78bb5b009d36ce3f5051e7383c1.mp4
新送情郎,https://vd4.bdstatic.com/mda-meq936zru7niwvd2/sc/cae_h264/1621924823247730000/mda-meq936zru7niwvd2.mp4
震撼纯电音Drown,https://vd2.bdstatic.com/mda-mjshcpd847mhnjgj/sc/cae_h264/1635337200637124885/mda-mjshcpd847mhnjgj.mp4
抖音神曲20首,https://vd3.bdstatic.com/mda-kegey3zg2hx7f0t6/sc/mda-kegey3zg2hx7f0t6.mp4
送给未来的你,https://vd2.bdstatic.com/mda-ma0st3ncw6i2yerr/v1-cae/sc/mda-ma0st3ncw6i2yerr.mp4
模特DJ,http://gcw.bdcdn.shoujiduoduo.com/201805/0247-477.mp4
21年DJ爆红网络洗脑神曲,https://vdse.bdstatic.com//bf4bb1d82b2eb17681c49e745dc2da21.mp4
劲爆DJ串烧,https://vdse.bdstatic.com//01b1f78bb5b009d36ce3f5051e7383c1.mp4
DJ版望爱却步,https://vd4.bdstatic.com/mda-mh3ei4sg2jypty79/1080p/cae_h264/1628072927342489970/mda-mh3ei4sg2jypty79.mp4
唱着情歌流着泪,https://vd3.bdstatic.com/mda-mhwaejanf0ie6b8j/1080p/cae_h264/1630409563129833732/mda-mhwaejanf0ie6b8j.mp4
DJ版一个人挺好,https://vd3.bdstatic.com/mda-mh6gqq4b59z26cjx/1080p/cae_h264/1628504623473300938/mda-mh6gqq4b59z26cjx.mp4
🌱人间烟火,https://vd3.bdstatic.com/mda-nia9gqywiryyn8pk/576p/h264/1662878654763005591/mda-nia9gqywiryyn8pk.mp4
演唱程响_是否,https://txmov2.a.kwimgs.com/upic/2023/05/04/11/BMjAyMzA1MDQxMTQyMzZfMTM4ODQ2MjU5MF8xMDIyNTUwODM0MzVfMl8z_b_B6b2a4f4f70e27bf7915609b0876287ce.mp4?tag=1-1705540739-std-1-msqhkxrpxy-d4e0f8c8c2deb8e6&clientCacheKey=3xx6zux29kaegjm_b.mp4&tt=b&di=529d11df&bp=12681&ali_redirect_ex_hot=66666800&ali_redirect_ex_beacon=1
祝福你,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg6uyj4QUosO5G.mp4
你是演员,https://kq.bgp.68tool.com/m3u8/2023/08/12/09e92ecad04db1c1/playlist.m3u8
热舞～心跳加速,https://vd2.bdstatic.com/mda-nma466es35rste5r/hd/cae_h264/1670727704014173730/mda-nma466es35rste5r.mp4?auth_key=1671027379-0-0-c814dc9425f4a426fc43b2a39a86f28e&bcevod_channel=searchbox_feed&pd=1&cd=0&pt=3&logid=2779341914&vid=5457361828850078429&abtest=all
转眼就是一辈子,https://kq.bgp.68tool.com/m3u8/2023/08/05/4939cdde4c912b82/playlist.m3u8
情 徒,https://kq.bgp.68tool.com/m3u8/2023/07/24/1d5f804bb6b5497d/playlist.m3u8
女人是花,https://kq.bgp.68tool.com/m3u8/2023/07/24/1330fc277292d588/playlist.m3u8
又是细雨Dj,https://kq.bgp.68tool.com/m3u8/2023/07/21/99e27fcde849d294/playlist.m3u8
南屏晚钟dj,https://kq.bgp.68tool.com/m3u8/2023/07/14/bfc4af1838eb3b58/playlist.m3u8
幸福有你dj,https://kq.bgp.68tool.com/m3u8/2023/06/26/826b20fbadff4281/playlist.m3u8
爱我的人,https://kq.bgp.68tool.com/video/m3u8/2023/05/13/0eefa293/playlist.m3u8
当我娶过她,https://kq.bgp.68tool.com/video/m3u8/2023/05/13/4e291f0c/playlist.m3u8
爱的世界,https://kq.bgp.68tool.com/video/m3u8/2023/04/28/e821aac4/playlist.m3u8
玫瑰花的梦,https://kq.bgp.68tool.com/video/m3u8/2023/04/06/ae38fab0/playlist.m3u8
起风了dj,https://kq.bgp.68tool.com/video/m3u8/2023/04/06/fe72c32c/playlist.m3u8
热舞～你的欺骗,https://kq.bgp.68tool.com/video/m3u8/2023/03/24/892e0c50/playlist.m3u8
热舞～晚风吹,https://kq.bgp.68tool.com/video/m3u8/2023/03/24/0358eebb/playlist.m3u8
热舞～舞女泪,https://kq.bgp.68tool.com/video/m3u8/2023/03/23/377923dc/playlist.m3u8
钢管舞～受伤,https://kq.bgp.68tool.com/video/m3u8/2023/03/22/c80179d6/playlist.m3u8
负心人dj,https://kq.bgp.68tool.com/video/m3u8/2023/03/22/1812d19f/playlist.m3u8
如水年华dj,https://kq.bgp.68tool.com/video/m3u8/2023/03/21/26aee11d/playlist.m3u8
热舞～雾里着迷,https://kq.bgp.68tool.com/video/m3u8/2023/03/21/3c46c8f4/playlist.m3u8
下山 DjSZ仔,https://kq.bgp.68tool.com/video/m3u8/2021/09/01/176d4d80/playlist.m3u8
爱成狠dj,https://kq.bgp.68tool.com/video/m3u8/2023/03/19/653dea7e/playlist.m3u8
爱上你是一个错,https://kq.bgp.68tool.com/video/m3u8/2023/03/19/7f08ab68/playlist.m3u8
望爱却步DJ,https://kq.bgp.68tool.com/video/m3u8/2023/03/14/fafbba1b/playlist.m3u8
我要找到你dj,https://kq.bgp.68tool.com/video/m3u8/2023/03/14/42e14849/playlist.m3u8
九十九步dj,https://kq.bgp.68tool.com/video/m3u8/2023/03/11/ff5fec35/playlist.m3u8
和你成个家dj,https://kq.bgp.68tool.com/video/m3u8/2023/03/11/9e5c635b/playlist.m3u8
很在乎dj,https://kq.bgp.68tool.com/video/m3u8/2022/08/27/acaf2ee0/playlist.m3u8
红枣树dj,https://kq.bgp.68tool.com/video/m3u8/2022/08/17/e4ce2ac7/playlist.m3u8
喊麦～爰爱爱,https://kq.bgp.68tool.com/video/m3u8/2022/05/24/8b1f6817/playlist.m3u8
才说爱我dj,https://kq.bgp.68tool.com/video/m3u8/2022/02/18/f097d94a/playlist.m3u8
你爱我坏dj,https://kq.bgp.68tool.com/video/m3u8/2022/02/12/ebdaa808/playlist.m3u8
此生无怨无悔,https://kq.bgp.68tool.com/video/m3u8/2022/02/08/9164ca57/playlist.m3u8
夜猫🐱dj,https://kq.bgp.68tool.com/video/m3u8/2022/01/16/888ad6ce/playlist.m3u8
把心掏空dj,https://kq.bgp.68tool.com/video/m3u8/2022/01/06/2545e778/playlist.m3u8
情字最大dj,https://kq.bgp.68tool.com/video/m3u8/2021/10/25/195237ed/playlist.m3u8
送亲DJ版,https://kq.bgp.68tool.com/video/m3u8/2021/10/21/f1416b15/playlist.m3u8
热播DJ版,https://kq.bgp.68tool.com/video/m3u8/2021/10/09/3c9faf7f/playlist.m3u8
酒杯杯里dj,https://kq.bgp.68tool.com/video/m3u8/2021/10/09/6936bfc1/playlist.m3u8
眉雨 美女热舞,https://kq.bgp.68tool.com/video/m3u8/2021/10/08/e79526a0/playlist.m3u8
我爱你不问归期,https://kq.bgp.68tool.com/video/m3u8/2021/10/08/3d3821fa/playlist.m3u8
曾经最美dj,https://kq.bgp.68tool.com/video/m3u8/2021/09/11/829ebdda/playlist.m3u8
你把爱情给了谁,https://kq.bgp.68tool.com/video/m3u8/2021/09/01/2fe28b6e/playlist.m3u8
红颜 DJcand,https://kq.bgp.68tool.com/video/m3u8/2021/09/01/815f6e47/playlist.m3u8
美酒加咖啡DJ,https://kq.bgp.68tool.com/m3u8/2023/06/28/0482e6a730cf7099/playlist.m3u8
少年不识愁滋味,https://kq.bgp.68tool.com/m3u8/2023/10/26/1aa7b785ccb41373/playlist.m3u8
小伙有精神,https://kq.bgp.68tool.com/m3u8/2023/11/21/c2372473492d38e3/playlist.m3u8
断了这份情,https://kq.bgp.68tool.com/m3u8/2023/11/21/92d39080391d7a21/playlist.m3u8
回心转意Dj,https://kq.bgp.68tool.com/m3u8/2023/10/23/6173807b6d4ef00c/playlist.m3u8
欧美动感舞曲,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgyMqg4gUo-uSR5AU.mp4
💃dj昨天,https://vd3.bdstatic.com/mda-pdm08zc1ggjx4ycx/sc/bd265_cae_visr_v5/1682123201087649318/mda-pdm08zc1ggjx4ycx.mp4
dj我在等你,https://vd2.bdstatic.com/mda-mkq4iax6ed1yimay/sc/cae_h264/1637837116068761026/mda-mkq4iax6ed1yimay.mp4
dj你别放手,https://vdse.bdstatic.com//c92e81328ef6d13ba7d44e6eb80f9f1e.mp4
dj痴情恋歌,https://vdse.bdstatic.com//904548e7bec804905906557ed2752017.mp4
dj酒醉红尘,https://vd3.bdstatic.com/mda-na5e2wsduefpwtsa/sc/bd265_cae_delogo/1641892577002645260/mda-na5e2wsduefpwtsa.mp4
dj热歌,https://vd3.bdstatic.com/mda-pdi9u02n4u3dxcpz/sc/bd265_cae_visr_v5/1682208259591287320/mda-pdi9u02n4u3dxcpz.mp4
dj谁也留不住,https://vd3.bdstatic.com/mda-pdjam1wd9d8uay3n/sc/bd265_cae_visr_v5/1682158319858313890/mda-pdjam1wd9d8uay3n.mp4
dj情歌舞曲,https://vd2.bdstatic.com/mda-nag6y4ryfy5a0hjb/720p/h264_delogo/1642396108696963578/mda-nag6y4ryfy5a0hjb.mp4
一万个对不起,https://vdse.bdstatic.com//8343b02f5e7465d4c5b07e54403438b8.mp4
车载dj舞曲,https://vdse.bdstatic.com//7e9d2da860d4ac39c0ea86502360d6fe.mp4
精选6首伤感DJ,https://vdse.bdstatic.com//0c87c8977d0a33498fe7362d3c60c22c.mp4
6首女生版伤感,https://vdse.bdstatic.com//2e77709380ad7e6163e80c4d5c179689.mp4
歌曲1,https://vdse.bdstatic.com//61e318ea76e984f2bedb66f1ed1583be.mp4
歌曲2,https://vdse.bdstatic.com//8343b02f5e7465d4c5b07e54403438b8.mp4
6首好听情歌DJ,https://vdse.bdstatic.com//b9c765ede94b5d2bac8cb2a9afc70488.mp4

💫流行歌曲,#genre#
人间惊鸿客,https://vd3.bdstatic.com/mda-mh2bbyjcqjxjhzkd/1080p/cae_h264/1627978577559447916/mda-mh2bbyjcqjxjhzkd.mp4
DJ版三月里的小雨,https://vd2.bdstatic.com/mda-mgwegh0bzv4cy6cb/1080p/cae_h264/1627727251470197083/mda-mgwegh0bzv4cy6cb.mp4
DJ版望爱却步,https://vd4.bdstatic.com/mda-mh3ei4sg2jypty79/1080p/cae_h264/1628072927342489970/mda-mh3ei4sg2jypty79.mp4
唱着情歌流着泪,https://vd3.bdstatic.com/mda-mhwaejanf0ie6b8j/1080p/cae_h264/1630409563129833732/mda-mhwaejanf0ie6b8j.mp4
DJ版一个人挺好,https://vd3.bdstatic.com/mda-mh6gqq4b59z26cjx/1080p/cae_h264/1628504623473300938/mda-mh6gqq4b59z26cjx.mp4
爱你到最后一刻,https://vd3.bdstatic.com/mda-mhr9c7q9xzgy1812/1080p/cae_h264/1630062648077583523/mda-mhr9c7q9xzgy1812.mp4
伤感DJ等,https://vd2.bdstatic.com/mda-mhq92a7nafrh8dma/1080p/cae_h264/1629977686796490849/mda-mhq92a7nafrh8dma.mp4
DJ我们不再是从前,https://vd2.bdstatic.com/mda-mhne550wq5m66zvj/1080p/cae_h264/1629803514331462220/mda-mhne550wq5m66zvj.mp4
DJ舞曲让我做你的眼睛,https://vd2.bdstatic.com/mda-mhaargrart2qrkdz/1080p/cae_h264/1629630942996744682/mda-mhaargrart2qrkdz.mp4
DJ版时间会知道你好不好,https://vd3.bdstatic.com/mda-mhairve7gvye1192/1080p/cae_h264/1629457148988604256/mda-mhairve7gvye1192.mp4
DJ版爱不得忘不舍,https://vd3.bdstatic.com/mda-mh8j8egnj8idbvd8/1080p/cae_h264/1629367979662473678/mda-mh8j8egnj8idbvd8.mp4
DJ版蜜雪冰城,https://vd3.bdstatic.com/mda-mhbae2pwwxhyxjcz/1080p/cae_h264/1628767594518574030/mda-mhbae2pwwxhyxjcz.mp4
无味DJ版,https://vd3.bdstatic.com/mda-mgqiagirsmmpuarm/1080p/cae_h264/1627218846577884242/mda-mgqiagirsmmpuarm.mp4
DJ版原谅你的谎,https://vd4.bdstatic.com/mda-mhacxx5vhr2we882/1080p/cae_h264/1628673933350116053/mda-mhacxx5vhr2we882.mp4
DJ等爱,https://vd2.bdstatic.com/mda-mfhh1e0hwq212rrt/sc/h264/1623988905898256147/mda-mfhh1e0hwq212rrt.mp4
慢摇dj舞曲,https://vd2.bdstatic.com/mda-mkpi5r0xe92ja446/sc/cae_h264/1637775035132431598/mda-mkpi5r0xe92ja446.mp4
恨风恨雨我恨你,https://vdse.bdstatic.com//bf4bb1d82b2eb17681c49e745dc2da21.mp4
爱江山更爱美人,https://vd4.bdstatic.com/mda-mm2a18n5jdh6d8bs/sc/cae_h264/1638516147610932793/mda-mm2a18n5jdh6d8bs.mp4
心态要洒脱,https://vdse.bdstatic.com//0d186807c47e70414cb0a8e7d232a5c7.mp4
来生再续未了情,https://vd3.bdstatic.com/mda-pe6a7cm02i5q9qd9/576p/h264/1683443614399169179/mda-pe6a7cm02i5q9qd9.mp4
我来人间一趟,https://vd3.bdstatic.com/mda-nmw9tp0srzkmgezw/hd/bd265_cae_v4_roi/1672470891307213958/mda-nmw9tp0srzkmgezw.mp4
新歌上线,https://vd4.bdstatic.com/mda-nc005jwr87jrdssh/sc/cae_h264_delogo/1646179767551234681/mda-nc005jwr87jrdssh.mp4
一夜火爆i网络DJ舞曲,https://vdse.bdstatic.com//692b9306c06b72d223c9d714f8ebe579.mp4
最火伤感音乐,https://vdse.bdstatic.com//6d39df48360bdb12f73800397c4a6c02.mp4
网络火爆伤感情歌6首,https://vdse.bdstatic.com//80e0473f97055cec1c9c76c1c7e5498a.mp4
新歌上线,https://vd4.bdstatic.com/mda-nc005jwr87jrdssh/sc/cae_h264_delogo/1646179767551234681/mda-nc005jwr87jrdssh.mp4
劲爆DJ串烧,https://vdse.bdstatic.com//01b1f78bb5b009d36ce3f5051e7383c1.mp4
DJ最美不过你的微笑,https://vd4.bdstatic.com/mda-mhs2qjdmkjz2rb7g/sc/cae_h264/1630029534870787600/mda-mhs2qjdmkjz2rb7g.mp4
梁山伯与祝英台,https://vd3.bdstatic.com/mda-ndvf6i90f43hxwj9/sc/bd265_cae_v4_delogo/1651382899118193225/mda-ndvf6i90f43hxwj9.mp4
花都开了你来不来DJ,https://vd3.bdstatic.com/mda-mdee523swbezmsin/480p/h264/1618480997/mda-mdee523swbezmsin.mp4#
6首催泪情歌DJ,https://vdse.bdstatic.com//cb015af64e7926101ae1e25c8b3b75d6.mp4#
十首伤感DJ情歌,https://vdse.bdstatic.com//5319e5b5cd1ad9d27a21b9bf4ad534ba.mp4#
爱你是这样苦DJ,https://vd4.bdstatic.com/mda-nca7s910919tw2qb/720p/h264_delogo/1646976619006116412/mda-nca7s910919tw2qb.mp4#
新歌DJ想你的心好苦,https://vd3.bdstatic.com/mda-nbh82mz7pqwck9kb/sc/bd265_cae_delogo/1645209735259425049/mda-nbh82mz7pqwck9kb.mp4#
一首老婆花,https://vd3.bdstatic.com/mda-nc33eu0a1v7zxcnu/sc/bd265_cae_delogo/1646450712283095420/mda-nc33eu0a1v7zxcnu.mp4#
情歌DJ红尘没有错,https://vd3.bdstatic.com/mda-nadfng7qz0sr3ff3/sc/bd265_cae_delogo/1643480883586586354/mda-nadfng7qz0sr3ff3.mp4#
